,0
0,0
1,0
2,3
3,2
4,3
5,2
6,1
7,3
8,3
9,0
10,3
11,0
12,3
13,1
14,2
15,1
16,1
17,2
18,3
19,3
20,2
21,3
22,1
23,1
24,3
25,1
26,2
27,3
28,0
29,3
30,0
31,0
32,3
33,0
34,0
35,3
36,0
37,0
38,1
39,1
40,0
41,3
42,3
43,3
44,3
45,0
46,0
47,3
48,3
49,0
50,2
51,0
52,3
53,1
54,3
55,3
56,1
57,0
58,3
59,3
60,2
61,1
62,0
63,0
64,2
65,3
66,3
67,3
68,1
69,1
70,2
71,3
72,0
73,3
74,1
75,0
76,1
77,3
78,3
79,1
80,2
81,1
82,1
83,2
84,2
85,2
86,2
87,1
88,2
89,0
90,2
91,1
92,0
93,3
94,3
95,3
96,2
97,3
98,1
99,1
100,0
101,3
102,3
103,0
104,0
105,3
106,3
107,3
108,3
109,1
110,2
111,1
112,0
113,3
114,3
115,3
116,3
117,2
118,3
119,1
120,3
121,0
122,0
123,0
124,3
125,0
126,3
127,3
128,3
129,3
130,0
131,1
132,1
133,0
134,2
135,1
136,2
137,0
138,2
139,2
140,0
141,3
142,2
143,3
144,3
145,3
146,0
147,3
148,2
149,1
150,1
151,0
152,3
153,3
154,3
155,3
156,2
157,0
158,3
159,0
160,2
161,3
162,2
163,3
164,3
165,3
166,3
167,3
168,0
169,3
170,0
171,2
172,3
173,0
174,3
175,0
176,3
177,1
178,3
179,2
180,1
181,3
182,3
183,0
184,3
185,3
186,1
187,2
188,2
189,0
190,0
191,3
192,0
193,3
194,2
195,3
196,3
197,1
198,0
199,3
200,0
201,1
202,3
203,2
204,0
205,0
206,0
207,1
208,1
209,0
210,3
211,3
212,2
213,3
214,0
215,2
216,1
217,2
218,0
219,0
220,3
221,3
222,3
223,2
224,3
225,1
226,2
227,2
228,3
229,1
230,0
231,0
232,3
233,0
234,1
235,1
236,0
237,0
238,3
239,3
240,1
241,0
242,2
243,3
244,2
245,3
246,3
247,1
248,3
249,0
250,3
