,0
0,1
1,1
2,0
3,2
4,0
5,2
6,1
7,0
8,0
9,1
10,0
11,0
12,0
13,1
14,2
15,1
16,1
17,2
18,0
19,0
20,2
21,0
22,2
23,1
24,0
25,1
26,2
27,0
28,1
29,0
30,1
31,1
32,0
33,0
34,1
35,0
36,1
37,0
38,1
39,2
40,1
41,0
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,2
51,1
52,0
53,1
54,0
55,0
56,1
57,1
58,0
59,0
60,2
61,1
62,1
63,1
64,2
65,0
66,0
67,0
68,1
69,1
70,2
71,0
72,1
73,0
74,1
75,1
76,1
77,0
78,0
79,1
80,2
81,1
82,1
83,2
84,2
85,2
86,2
87,1
88,2
89,1
90,2
91,1
92,1
93,0
94,0
95,0
96,2
97,0
98,1
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,2
110,2
111,2
112,0
113,0
114,0
115,0
116,0
117,2
118,0
119,2
120,0
121,1
122,1
123,1
124,0
125,1
126,0
127,0
128,0
129,0
130,1
131,1
132,1
133,1
134,2
135,1
136,2
137,0
138,2
139,2
140,1
141,0
142,2
143,0
144,0
145,0
146,0
147,0
148,2
149,1
150,2
151,0
152,0
153,0
154,0
155,0
156,2
157,1
158,0
159,1
160,2
161,0
162,2
163,0
164,0
165,0
166,0
167,0
168,1
169,0
170,1
171,2
172,0
173,1
174,0
175,0
176,2
177,1
178,0
179,2
180,1
181,0
182,0
183,0
184,0
185,0
186,1
187,2
188,2
189,1
190,1
191,0
192,0
193,0
194,2
195,0
196,0
197,1
198,0
199,0
200,1
201,1
202,0
203,2
204,0
205,0
206,1
207,1
208,1
209,1
210,0
211,0
212,2
213,0
214,1
215,2
216,1
217,2
218,0
219,1
220,0
221,0
222,0
223,2
224,0
225,1
226,2
227,2
228,0
229,2
230,1
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,0
240,1
241,0
242,2
243,0
244,2
245,0
246,0
247,2
248,0
249,0
250,0
