,0
0,0
1,0
2,1
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,1
20,1
21,1
22,0
23,0
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,1
53,0
54,1
55,1
56,0
57,0
58,1
59,1
60,1
61,0
62,0
63,0
64,1
65,1
66,1
67,0
68,0
69,0
70,1
71,1
72,0
73,1
74,0
75,0
76,0
77,1
78,1
79,0
80,1
81,0
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,0
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,1
98,0
99,0
100,0
101,1
102,1
103,0
104,0
105,1
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,0
114,1
115,1
116,1
117,1
118,1
119,0
120,1
121,0
122,0
123,0
124,1
125,0
126,1
127,1
128,1
129,1
130,0
131,0
132,0
133,0
134,1
135,0
136,1
137,0
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,0
146,0
147,1
148,1
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,0
158,1
159,0
160,1
161,0
162,1
163,1
164,1
165,1
166,1
167,1
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,1
177,0
178,1
179,1
180,0
181,1
182,1
183,0
184,1
185,1
186,0
187,1
188,1
189,0
190,0
191,1
192,0
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,0
201,0
202,1
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,0
219,0
220,1
221,1
222,0
223,1
224,1
225,0
226,1
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,0
242,1
243,1
244,1
245,1
246,1
247,0
248,0
249,0
250,1
