5,2,9,4,21,3,3,12,6,9,6,3,28,13,3,3,6,7,3,3,2,2,6,4,5,4,4,8,1,9,1,7,2,6,4,3,2,2,5,5,4,5,2,5,2,111,3,5,1,4,4,2,5,2,4,8,3,5,10,2,4,2,4,2,2,3,3,2,13,3,3,10,92,5,2,18,1,4,5,4,6,3,5,21,2,3,3,4,5,10,5,1,2,7,27,1,3,4,4,3,4,2,1,4,4,7,6,2,5,6,3,1,12,4,3,5,4,4,20,4,7,7,8,6,5,2,8,8,3,22,2,9,3,7,13,4,9,6,2,6,8,2,7,5,3,2,6,2,8,14,9
42,33,80,14,31,6,11,21,49,10,19,14,18,49,4,15,29,36,11,27,10,9,12,8,25,14,31,8,6,12,9,13,12,47,40,5,11,30,18,12,24,34,13,16,26,13,8,15,17,14,12,47,48,9,16,15,30,18,10,24,13,15,11,17,4,16,16,21,21,15,26,40,39,30,20,17,7,40,13,9,14,11,14,37,14,22,11,10,16,41,15,15,5,18,11,16,10,16,11,6,15,11,10,43,10,14,12,11,19,15,26,16,18,28,16,18,6,18,12,12,15,35,70,13,35,12,12,36,23,14,9,20,9,14,12,18,13,37,15,24,9,17,21,18,15,13,17,13,12,12,7
33,14,42,25,34,6,13,17,16,11,20,18,3,85,11,7,13,66,6,9,6,19,14,9,9,15,9,5,3,13,10,15,15,11,6,114,9,14,15,34,8,33,8,18,6,10,4,14,5,41,8,31,25,5,17,37,21,52,9,8,6,12,15,6,4,30,14,200,11,7,8,8,7,14,17,17,2,15,4,4,13,3,20,15,9,25,6,14,16,49,22,13,3,8,9,5,16,4,10,6,8,24,8,22,7,18,5,4,18,5,6,13,10,50,20,39,21,13,15,16,26,9,9,11,11,19,4,7,9,12,8,18,10,23,21,6,7,8,13,6,9,9,27,7,10,6,14,4,11,13,15
10,4,4,8,34,3,4,5,29,7,13,4,2,9,4,6,15,9,3,4,18,2,2,19,9,3,14,4,2,9,2,5,2,5,5,45,29,3,2,27,5,3,9,4,3,3,3,2,2,10,4,3,11,2,5,14,2,10,4,43,3,3,5,39,16,15,9,4,5,5,4,8,5,3,9,5,2,6,2,9,2,2,3,9,3,12,3,11,3,6,5,2,2,3,5,5,10,8,3,4,3,17,3,5,3,8,4,4,6,4,4,12,4,15,3,11,6,5,12,4,11,5,16,2,15,4,3,5,3,4,17,16,5,2,4,3,6,10,16,9,10,3,15,12,4,2,15,4,14,5,6
6,3,5,3,38,3,2,4,11,3,13,5,6,10,2,3,5,9,7,3,3,3,7,8,6,2,4,8,3,5,3,84,7,3,6,2,2,3,2,6,15,5,2,14,4,2,2,1,4,2,3,2,7,2,2,3,20,5,2,17,3,10,2,6,1,4,2,6,3,3,7,14,7,2,4,10,1,4,9,2,3,2,3,6,2,3,2,4,5,25,5,3,1,4,3,8,4,2,3,4,6,5,3,3,4,13,3,4,5,6,2,10,5,7,3,17,8,16,8,4,8,9,25,3,3,4,2,6,3,4,11,5,3,2,10,4,8,7,3,7,3,4,9,8,14,2,5,3,7,20,5
7,13,16,22,46,9,7,6,17,6,26,5,8,34,17,39,6,18,7,8,16,4,4,13,6,6,15,9,2,13,3,9,21,23,5,48,4,6,5,3,8,5,16,11,6,4,5,4,4,4,5,4,34,4,4,23,22,24,3,109,15,4,8,4,7,20,4,15,12,3,7,16,10,4,7,25,3,16,4,3,4,6,18,55,14,5,7,59,7,42,8,3,3,9,7,3,9,14,5,23,5,13,11,7,3,15,16,5,4,4,4,18,8,25,5,10,8,23,28,7,10,10,38,6,12,7,4,8,5,9,31,8,7,17,8,11,10,12,7,8,6,14,6,7,18,5,31,3,17,6,8
18,6,29,16,29,7,3,15,17,9,16,20,4,36,4,4,19,40,13,9,3,13,8,10,8,9,4,33,5,8,6,20,11,6,15,7,9,10,8,10,4,25,4,7,6,13,5,10,5,5,5,8,11,8,8,21,12,9,8,8,6,18,24,5,5,8,12,41,9,5,5,19,19,11,38,13,3,6,5,3,8,3,15,32,4,9,3,7,16,19,30,4,4,8,10,5,6,3,5,10,5,10,3,6,18,13,5,4,26,11,4,15,4,8,6,9,6,14,11,15,10,11,35,11,14,5,4,8,5,6,12,11,7,15,6,5,18,16,4,5,8,3,12,10,12,7,200,5,12,22,12
10,3,40,17,23,10,5,47,13,8,29,10,4,92,7,10,21,35,12,13,5,9,12,16,7,19,10,8,24,11,10,23,13,8,19,12,6,15,7,41,12,26,6,64,9,7,6,32,7,9,12,11,15,5,11,12,5,13,11,17,15,12,30,8,5,21,13,19,9,4,13,21,31,24,22,27,4,12,5,4,27,9,16,72,7,10,6,11,12,30,34,11,3,17,23,5,11,6,3,21,7,39,15,11,9,18,7,12,16,8,14,7,7,26,3,21,8,11,23,9,39,13,26,9,14,31,7,17,10,12,14,12,19,10,11,6,15,16,9,7,9,9,18,10,12,6,13,7,18,9,14
13,10,52,21,30,13,18,27,13,11,28,20,21,33,13,50,21,56,21,16,17,29,17,12,35,21,35,8,8,17,11,41,11,21,32,8,19,20,16,14,24,26,22,36,15,13,12,17,17,13,18,13,29,16,13,27,18,18,19,62,10,27,26,21,4,10,14,21,22,18,9,36,32,13,27,46,7,41,15,11,20,18,16,98,24,38,34,26,33,43,24,9,7,6,9,8,10,5,8,22,7,22,16,27,15,14,23,23,21,16,25,18,15,32,17,27,9,200,16,11,18,35,14,16,15,38,18,117,22,12,13,15,20,23,27,36,12,51,16,85,5,30,32,15,22,15,9,8,20,16,12
5,6,56,21,32,7,5,21,10,11,19,14,3,21,9,3,23,50,5,17,5,16,11,31,6,16,4,6,2,20,5,34,9,5,4,4,6,14,11,4,8,34,5,11,4,35,9,9,5,12,5,7,14,3,11,13,18,9,10,12,8,11,15,68,2,13,15,24,5,2,7,8,22,12,23,11,3,18,3,3,9,4,27,13,8,26,8,4,13,27,23,8,3,6,6,3,5,3,2,15,29,20,6,10,4,14,7,3,17,4,5,6,5,25,11,11,6,15,15,18,40,10,37,14,7,16,7,5,5,5,14,10,6,4,5,5,4,8,10,23,12,4,35,38,5,6,13,9,10,4,19
