item,res,pos_neg,se_pn,neg_pos,se_np
1,incorrect,-0.08339807387293702,0.013698355913526085,-0.12616585512011913,0.01823165389957403
1,correct,-0.9704249903350509,0.037874384434931664,0.7255710061420015,0.04050720929853454
2,incorrect,-0.14609115325544084,0.019022292668700095,-0.3176692285578762,0.0339793843254143
2,correct,-0.9947184703621287,0.036668875001639185,0.6962020591398654,0.03737967239378984
3,incorrect,-0.1637555263988998,0.015261827596140353,-0.2697687373646637,0.02553426616549689
3,correct,-1.0512627772568717,0.037205328191307854,0.6195397434197198,0.0354430464121361
4,incorrect,-0.23693269444567594,0.00864542348526102,-0.3984268928308821,0.024077864858304068
4,correct,-1.0334377665535004,0.036617315303711734,0.6344769315296114,0.03481512567673889
5,incorrect,-0.1776784331370151,0.015919070092993065,-0.3319850890967188,0.02528228390518693
5,correct,-1.011774712008993,0.03677805285074381,0.6495379144453443,0.035663759007160165
6,incorrect,-0.20300708623821181,0.010112687937778126,-0.31824154881190586,0.02444240540999841
6,correct,-1.1092130495294956,0.03535422952651757,0.5417415213588556,0.030648315344006055
7,incorrect,-0.1999627615194884,0.012776906021161032,-0.32401745469765453,0.02678892304637749
7,correct,-1.109311740465721,0.034354791456555345,0.5412084940150224,0.02884785828415256
8,incorrect,-0.2077419263500757,0.012186822976247735,-0.2924913363284286,0.02265762359838764
8,correct,-1.1735993538717644,0.03409200243158012,0.47445711044315264,0.028530484703716007
9,incorrect,-0.10658875554125258,0.01584389472476109,-0.1485018419737132,0.023457079169047147
9,correct,-1.3170324545046612,0.03343323169578978,0.3479907587548086,0.02613168372692813
10,incorrect,-0.11281147740831425,0.015506860864993742,-0.16093755508465077,0.02430836971334583
10,correct,-1.0783222603867253,0.03811655299837256,0.5894156241025171,0.03642913899882088
11,incorrect,-0.16699369004566997,0.013514981294824839,-0.22062165573947437,0.021877193993070875
11,correct,-1.2780295755667563,0.03312439918326636,0.37196998820131594,0.02657522113454031
12,incorrect,-0.1059067223077506,0.018185440887806204,-0.15380070737748006,0.024742843553549367
12,correct,-1.3252634280520903,0.031916017285450134,0.3047601342326677,0.018084995522564005
13,incorrect,-0.10043189105008793,0.017922818210394514,-0.15460711066890434,0.026329601914979597
13,correct,-1.1703147333846224,0.03371797677190776,0.4583310775098969,0.02629468081270978
14,incorrect,-0.09710902780896202,0.016255030580301012,-0.14250877120537966,0.023950869288705174
14,correct,-1.328822322279373,0.03332619841137074,0.33465723227013644,0.022485418701510607
15,incorrect,-0.1785077840726762,0.01350287332303702,-0.2525299757976601,0.024315154160403637
15,correct,-1.2075393223208613,0.03352519997412712,0.44425974593974377,0.025356054237414584
16,incorrect,-0.030417955107045758,0.018695076317806463,-0.06479681801305223,0.024097208984628762
16,correct,-1.466079473119675,0.03189242141816872,0.1843584304458819,0.016140913239267172
17,incorrect,-0.017542224976043196,0.019514943325923458,-0.05484186779037142,0.025082667400670947
17,correct,-1.1979203979423665,0.04164495725704258,0.46060845945148216,0.032252056950861155
18,incorrect,0.015027598664258221,0.021433630683137212,-0.0189304851832526,0.025165906447446446
18,correct,-1.1055497398406529,0.03956530382021814,0.4954512977775861,0.03357797941561224
19,incorrect,-0.011962176372193222,0.02258244656357099,-0.0672115812148412,0.026585931027076664
19,correct,-1.2231851896825503,0.03040179688596535,0.4005421998652552,0.023202317053334105
20,incorrect,0.036030851354246364,0.020691402244443418,0.012942283595211126,0.02408142488624153
20,correct,-1.4436399423058317,0.0583330568148963,0.39502413471129005,0.05107877562936698
21,incorrect,-0.19257593179137714,0.011150346110672628,-0.4005264671315167,0.031582438650721516
21,correct,-1.0099334937755076,0.036177009242839356,0.6639781381058555,0.03475603003259319
22,incorrect,-0.13173238158796052,0.016202560107534857,-0.23085277126425294,0.029665846282183873
22,correct,-1.0793217399776158,0.035129763581903756,0.5806254495484613,0.03055979272115381
23,incorrect,-0.1144642972991525,0.019382761006473254,-0.2047092912529772,0.02908479065348273
23,correct,-1.0809511281777668,0.032934307702192356,0.5757405078835302,0.030995042543489844
24,incorrect,-0.019736487905925932,0.01940026039322924,-0.05489120085085384,0.0248571966189683
24,correct,-1.340680385854173,0.03643036831716682,0.2783544927529437,0.022716531329300425
25,incorrect,-0.10456763307602651,0.018884856025548107,-0.18504515601825336,0.026376902259764353
25,correct,-1.079033839130123,0.03321037467723506,0.5727350600005063,0.03296365945971572
26,incorrect,-0.02868421537444209,0.018466109121068414,-0.05984887976966709,0.024106423197393236
26,correct,-1.4986244429503024,0.036989561288269,0.16119541341721225,0.01591819919932872
27,incorrect,0.04345920009096516,0.021958825761752673,0.009047291183677848,0.025524481286853865
27,correct,-1.3260647684782134,0.029004948509055453,0.2171000215445916,0.021232002460792522
28,incorrect,0.02601903388570049,0.02281559864424828,-0.013241262369332275,0.026137290475944045
28,correct,-1.241716595785564,0.03985876018409895,0.45564483354473917,0.03258732450700974
29,incorrect,-0.05468849511913032,0.019166965973165737,-0.09579335413699225,0.024773485076218307
29,correct,-1.2330959599488671,0.031194220717604977,0.4119411208423667,0.030085940958476255
30,incorrect,0.07580881671497053,0.022962947015305865,0.04513806389437614,0.02528882646056203
30,correct,-0.9066603047199385,0.04437357018363055,0.7864955368238108,0.045245021385536564
31,incorrect,-0.14125593458779268,0.005941144191043422,-0.2593833761445681,0.01734463118995464
31,correct,-0.9686584337184944,0.03765378633433089,0.7271487969457727,0.04017550825674332
32,incorrect,-0.06448736153345032,0.0211963146769517,-0.2488477574873085,0.038418621632397273
32,correct,-0.988517271059119,0.03641234304998718,0.7001430589466558,0.03719362565133525
33,incorrect,-0.2183767470672613,0.013360460814654656,-0.3522776832110782,0.02511902462966137
33,correct,-1.064678419192515,0.035779320004061824,0.5937749200677356,0.03282484230904115
34,incorrect,-0.05696545907084919,0.017921161719181383,-0.09407362136107926,0.02405837550648367
34,correct,-1.4136971414890143,0.03205593374167315,0.2212363962161001,0.016187926479327115
35,incorrect,-0.061612238393852756,0.019251380625143828,-0.11341022103087796,0.025350158270739866
35,correct,-1.2468492139294187,0.029353760260972354,0.35925408312891866,0.021881689661551396
36,incorrect,-0.03662969374629983,0.019805514718741965,-0.0887426858878173,0.02586046081976644
36,correct,-1.2012713360041751,0.029951512318982177,0.4146711293265609,0.025450577266989415
37,incorrect,0.02190236249722097,0.020294141389890177,-0.006975654095511547,0.024946707582485576
37,correct,-1.5523535301489233,0.045330946959396566,0.1464589574034762,0.021154169498509633
38,incorrect,-0.011745997559020921,0.02024982101369612,-0.04489832271663659,0.024788174712881948
38,correct,-1.412586252591246,0.023670988218260577,0.18254315002864166,0.014287534599906759
39,incorrect,-0.028269950069230686,0.020149370310748555,-0.06552397240713266,0.02541790464084864
39,correct,-1.3183076781731042,0.03485684057401645,0.3307448034965861,0.024183424732425976
40,incorrect,0.07226326905897619,0.022662648079470785,0.0382369559986655,0.025808115185742487
40,correct,-0.9614925499248066,0.041014256159501924,0.7119785042293448,0.03898305632914814
