item,pos_neg,se_pn,neg_pos,se_np
1,-0.9350852725477158,0.038784520054003714,0.6916372666494868,0.04120887371248032
2,-0.9440036904553545,0.038027060256052035,0.6356121415483669,0.04011358861667127
3,-0.8921479314855222,0.040492722574771385,0.4601019679802885,0.040128785780130356
4,-0.9382379571382226,0.03815304947348375,0.5110222911677994,0.03978686920786684
5,-0.9187281151627167,0.038785419553159194,0.5400453084725244,0.03975433250907249
6,-0.8817589631257073,0.039722071315525735,0.32588919697336566,0.037508961523057965
7,-0.8883145782516962,0.03924213696013638,0.33093445867050725,0.03677302070663875
8,-0.854212236404433,0.040632549104434805,0.22084467585334688,0.035112428186443057
9,-0.6129496654661845,0.045129521549251594,0.05919426590076806,0.029036795154241707
10,-0.7705897399155186,0.043285308950300694,0.3502592323297146,0.039726102148014676
11,-0.7468570406562768,0.043468736085461035,0.08865924209416519,0.03074988738396585
12,-0.6062801911988541,0.04526698685867154,0.03437366188883553,0.02639964132094447
13,-0.6588169601569566,0.0434343659347433,0.16529289989453375,0.03262653838170988
14,-0.5927386801655815,0.045398594980790734,0.0494982660497085,0.027624982206831836
15,-0.8139655068952607,0.041976529275291906,0.17775849778519884,0.032854229241978186
16,-0.3278458393168335,0.042877408463044,-0.013178997615185399,0.023533565797104753
17,-0.4125691832595936,0.045492869167413345,0.11765943694395409,0.03161851529913112
18,-0.28855510658806827,0.04178607544160372,0.12042394207307025,0.031181256394299178
19,-0.4124861210126699,0.04407534180543464,0.08746397189132614,0.029024651805966594
20,-0.0995565122082309,0.037645056879758935,0.04795376796042951,0.028368367477023232
21,-0.9415489965577117,0.03759864116255842,0.5749159998190634,0.03916385028647551
22,-0.8377053298702933,0.0408243186992692,0.3737146681460162,0.03764258375509296
23,-0.7998613327429507,0.04058049982176141,0.348757100166538,0.03776648737773753
24,-0.31971179540811745,0.04257822983692238,0.02078610805518783,0.025895269834724535
25,-0.7684470005471442,0.0410786809320391,0.33121148517381,0.03817717485658361
26,-0.3156446582079766,0.043528554500209295,-0.016696806597726502,0.023378976946352086
27,-0.06566621573128015,0.0325225876291887,0.02562519798534428,0.025423156040328028
28,-0.26692386062001006,0.04363767110487119,0.09510691915662846,0.030381584975667893
29,-0.5006992885805844,0.043592156878128695,0.09637706467989661,0.03103900387249554
30,-0.045531991111651696,0.03340888780210022,0.13670014222430632,0.03230887769674818
31,-0.9554727365211924,0.037927435115639486,0.711427168689353,0.040655961986099894
32,-0.9332963601312902,0.03825405586909115,0.6434304603549846,0.039817495836427935
33,-0.9196944673941647,0.03868694669177419,0.4317021633307276,0.03881230053046466
34,-0.42452623359051145,0.04431167166060503,-0.008650987117062537,0.023877810205936947
35,-0.5102079064252423,0.043307920329309725,0.06548662715709287,0.02808343194396496
36,-0.4727903087751456,0.043004962631394326,0.09978679072633233,0.029928657862623772
37,-0.13489603318466592,0.03817010740589057,0.008306677727096794,0.0247287170385804
38,-0.2573116199551082,0.03961114440681657,-0.005028104386787015,0.023902610430776714
39,-0.3829018354842397,0.04417375563915714,0.04341047196480596,0.027423219324652873
40,-0.1254270867626237,0.037314358980120726,0.1670799612379986,0.03323703616944945
