251,89,17,3,0
251,65,9,0,0
251,151,42,11,1
251,181,84,32,7
251,127,44,10,3
251,186,86,41,13
251,209,122,72,30
251,208,122,71,25
251,245,201,144,58
251,246,195,135,53
251,213,158,102,40
251,247,200,124,47
251,238,172,95,43
251,247,219,168,118
251,247,204,120,71
251,248,221,131,54
251,245,220,181,121
251,245,197,123,72
251,250,237,200,128
251,246,238,225,181
251,173,77,28,5
251,221,154,69,19
251,231,163,69,21
251,242,207,146,64
251,240,183,111,40
251,247,219,165,90
251,244,214,146,77
251,250,243,206,140
251,247,222,170,100
251,241,194,132,56
251,98,16,3,2
251,114,21,6,2
251,175,76,30,7
251,198,107,37,8
251,228,154,68,29
251,228,148,68,20
251,208,138,86,46
251,234,167,87,37
251,195,97,48,16
251,245,210,182,115
