6,2,2,0,0
6,6,3,0,0
15,10,14,6,0
0,4,8,13,5
2,6,14,4,2
3,13,17,18,12
3,4,12,20,22
3,7,22,30,21
3,15,25,57,46
1,5,14,30,30
4,3,26,50,37
1,16,44,50,37
3,21,44,27,25
1,5,16,29,99
1,1,16,21,57
1,15,66,65,52
2,8,19,41,97
3,35,54,39,52
1,5,28,39,95
5,2,11,42,168
4,6,4,5,2
4,17,23,12,8
9,13,28,12,11
8,27,45,65,49
3,13,14,26,24
3,18,35,64,82
7,26,62,66,70
1,2,24,45,121
2,7,23,49,75
7,36,54,70,53
0,2,0,0,2
4,9,2,0,0
1,14,15,9,4
40,68,53,17,5
15,53,53,21,14
22,59,43,27,6
34,60,51,37,44
17,58,67,36,29
37,82,29,23,11
5,30,21,49,98
156,70,12,3,0
180,50,6,0,0
85,99,17,4,1
70,93,44,12,2
122,77,20,3,1
62,87,28,10,1
39,83,38,22,8
40,79,29,16,4
3,29,32,29,12
4,46,46,52,23
34,52,30,12,3
3,31,32,27,10
10,45,33,25,18
3,23,35,21,19
3,42,68,28,14
2,12,24,12,2
4,17,20,19,24
3,13,20,12,20
0,8,9,33,33
0,6,2,2,13
74,90,45,18,3
26,50,62,38,11
11,55,66,36,10
1,8,16,17,15
8,44,58,45,16
1,10,19,11,8
0,4,6,3,7
0,5,13,21,19
2,18,29,21,25
3,11,8,6,3
153,80,13,1,0
133,84,13,4,2
75,85,31,14,3
13,23,17,12,3
8,21,33,18,15
1,21,37,21,14
9,10,1,3,2
0,9,13,14,8
19,16,20,9,5
1,5,7,18,17
